No.,Title,Category,Price (£),Rating,Availability,Price_Segment,Rating_Label
1,It's Only the Himalayas,Travel,45.17,2,In stock,Premium (£40–60),Fair
2,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,In stock,Premium (£40–60),Good
3,See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,In stock,Premium (£40–60),Average
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,In stock,Medium (£20–40),Fair
5,Under the Tuscan Sun,Travel,37.33,3,In stock,Medium (£20–40),Average
6,A Summer In Europe,Travel,44.34,2,In stock,Premium (£40–60),Fair
7,The Great Railway Bazaar,Travel,30.54,1,In stock,Medium (£20–40),Poor
8,A Year in Provence (Provence #1),Travel,56.88,4,In stock,Premium (£40–60),Good
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,In stock,Medium (£20–40),Poor
10,Neither Here nor There: Travels in Europe,Travel,38.95,3,In stock,Medium (£20–40),Average
11,"1,000 Places to See Before You Die",Travel,26.08,5,In stock,Medium (£20–40),Excellent
12,Sharp Objects,Mystery,47.82,4,In stock,Premium (£40–60),Good
13,"In a Dark, Dark Wood",Mystery,19.63,1,In stock,Low (£0–20),Poor
14,The Past Never Ends,Mystery,56.5,4,In stock,Premium (£40–60),Good
15,A Murder in Time,Mystery,16.64,1,In stock,Low (£0–20),Poor
16,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,In stock,Premium (£40–60),Good
17,The Last Mile (Amos Decker #2),Mystery,54.21,2,In stock,Premium (£40–60),Fair
18,That Darkness (Gardiner and Renner #1),Mystery,13.92,1,In stock,Low (£0–20),Poor
19,Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,In stock,Low (£0–20),Poor
20,A Time of Torment (Charlie Parker #14),Mystery,48.35,5,In stock,Premium (£40–60),Excellent
21,A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,In stock,Low (£0–20),Fair
22,Poisonous (Max Revere Novels #3),Mystery,26.8,3,In stock,Medium (£20–40),Average
23,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,In stock,Premium (£40–60),Good
24,Most Wanted,Mystery,35.28,3,In stock,Medium (£20–40),Average
25,Hide Away (Eve Duncan #20),Mystery,11.84,1,In stock,Low (£0–20),Poor
26,Boar Island (Anna Pigeon #19),Mystery,59.48,3,In stock,Premium (£40–60),Average
27,The Widow,Mystery,27.26,2,In stock,Medium (£20–40),Fair
28,Playing with Fire,Mystery,13.71,3,In stock,Low (£0–20),Average
29,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,In stock,Medium (£20–40),Excellent
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,In stock,Premium (£40–60),Excellent
31,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,In stock,Medium (£20–40),Good
32,The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,In stock,Medium (£20–40),Good
33,In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,In stock,Medium (£20–40),Fair
34,The Silkworm (Cormoran Strike #2),Mystery,23.05,5,In stock,Medium (£20–40),Excellent
35,The Exiled,Mystery,43.45,3,In stock,Premium (£40–60),Average
36,The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,In stock,Low (£0–20),Poor
37,Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,In stock,Medium (£20–40),Average
38,Career of Evil (Cormoran Strike #3),Mystery,24.72,2,In stock,Medium (£20–40),Fair
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,In stock,Premium (£40–60),Good
40,The Girl You Lost,Mystery,12.29,5,In stock,Low (£0–20),Excellent
41,The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,In stock,Low (£0–20),Average
42,Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,In stock,Medium (£20–40),Average
43,1st to Die (Women's Murder Club #1),Mystery,53.98,1,In stock,Premium (£40–60),Poor
44,Tipping the Velvet,Historical Fiction,53.74,1,In stock,Premium (£40–60),Poor
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,In stock,Medium (£20–40),Average
46,A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,In stock,Premium (£40–60),Excellent
47,The House by the Lake,Historical Fiction,36.95,1,In stock,Medium (£20–40),Poor
48,Mrs. Houdini,Historical Fiction,30.25,5,In stock,Medium (£20–40),Excellent
49,The Marriage of Opposites,Historical Fiction,28.08,4,In stock,Medium (£20–40),Good
50,Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,In stock,Premium (£40–60),Average
51,"Love, Lies and Spies",Historical Fiction,20.55,2,In stock,Medium (£20–40),Fair
52,A Paris Apartment,Historical Fiction,39.01,4,In stock,Medium (£20–40),Good
53,Lilac Girls,Historical Fiction,17.28,2,In stock,Low (£0–20),Fair
54,The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,In stock,Low (£0–20),Average
55,The Invention of Wings,Historical Fiction,37.34,1,In stock,Medium (£20–40),Poor
56,World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,In stock,Medium (£20–40),Good
57,The Passion of Dolssa,Historical Fiction,28.32,5,In stock,Medium (£20–40),Excellent
58,Girl With a Pearl Earring,Historical Fiction,26.77,1,In stock,Medium (£20–40),Poor
59,Voyager (Outlander #3),Historical Fiction,21.07,5,In stock,Medium (£20–40),Excellent
60,The Red Tent,Historical Fiction,35.66,5,In stock,Medium (£20–40),Excellent
61,The Last Painting of Sara de Vos,Historical Fiction,55.55,2,In stock,Premium (£40–60),Fair
62,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,In stock,Premium (£40–60),Poor
63,Girl in the Blue Coat,Historical Fiction,46.83,2,In stock,Premium (£40–60),Fair
64,Between Shades of Gray,Historical Fiction,20.79,5,In stock,Medium (£20–40),Excellent
65,While You Were Mine,Historical Fiction,41.32,5,In stock,Premium (£40–60),Excellent
66,The Secret Healer,Historical Fiction,34.56,3,In stock,Medium (£20–40),Average
67,Starlark,Historical Fiction,25.83,3,In stock,Medium (£20–40),Average
68,Lost Among the Living,Historical Fiction,27.7,4,In stock,Medium (£20–40),Good
69,A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,In stock,Low (£0–20),Excellent
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,In stock,Premium (£40–60),Excellent
71,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1,In stock,Low (£0–20),Poor
